Player,Real,Predicted,Position,Payroll Salary,Team,OPS Per Millionth Dollar
Manuel Margot,0.5153333333333333,0.77141875,RF,3400000,Tampa Bay Rays,0.22688786764705882
Marcell Ozuna,0.638,0.8040968000000001,LF,16000000,Atlanta Braves,0.050256050000000003
Marcus Semien,0.6286666666666667,0.8028781999999999,SS,18000000,Toronto Blue Jays,0.04460434444444444
Mark Canha,0.621,0.7925789000000001,LF,6925000,Oakland Athletics,0.11445182671480146
Mark Mathias,0.225,0.74504155,2B,572000,Milwaukee Brewers,1.3025201923076923
Martin Maldonado,0.6896,0.8011666999999999,C,3500000,Houston Astros,0.2289047714285714
Marwin Gonzalez,0.7546666666666667,0.81484056,LF,3000000,Boston Red Sox,0.27161352
Matt Carpenter,0.6926666666666668,0.80265975,3B,18500000,St. Louis Cardinals,0.04338701351351352
Matt Chapman,0.6366666666666667,0.78783375,3B,6490000,Oakland Athletics,0.12139194915254238
Matt Joyce,0.6786666666666666,0.80254596,LF,1500000,Philadelphia Phillies,0.53503064
Matt Olson,0.6699999999999999,0.7956615,1B,5000000,Oakland Athletics,0.1591323
Max Kepler,0.7083333333333334,0.8039679,RF,6500000,Minnesota Twins,0.12368736923076923
Max Moroff,0.8585,0.8135796999999999,2B,570500,St. Louis Cardinals,1.4260818580192813
Max Stassi,0.77525,0.81416523,C,1600000,Los Angeles Angels,0.5088532687499999
Michael Brantley,0.6683333333333333,0.7970255999999999,LF,16000000,Houston Astros,0.04981409999999999
Michael Conforto,0.6766666666666667,0.796082,RF,12250000,New York Mets,0.0649862857142857
Michael Taylor,0.8343333333333334,0.8275849000000001,CF,1750000,Kansas City Royals,0.47290565714285715
Miguel Andujar,0.6476666666666667,0.792167,3B,639000,New York Yankees,1.239697965571205
Miguel Cabrera,0.7280000000000001,0.81047934,DH,30000000,Detroit Tigers,0.027015978
Miguel Rojas,0.594,0.78314066,SS,5000000,Miami Marlins,0.15662813200000003
Miguel Sano,0.8456666666666667,0.82828844,1B,11000000,Minnesota Twins,0.07529894909090909
Mike Moustakas,0.758,0.8124094000000001,2B,14000000,Cincinnati Reds,0.058029242857142865
Mike Trout,0.7746666666666666,0.8119122,CF,37166667,Los Angeles Angels,0.021845171104527616
Mike Zunino,0.6803333333333335,0.8005485999999999,C,2000000,Tampa Bay Rays,0.40027429999999997
Mitch Haniger,0.6005,0.78678477,RF,3010000,Seattle Mariners,0.2613902890365448
Mitch Moreland,0.7045,0.79472136,1B,2250000,Oakland Athletics,0.35320949333333335
Mookie Betts,0.6003333333333334,0.7915348000000001,RF,22500000,Los Angeles Dodgers,0.03517932444444445
Nelson Cruz,0.6637500000000001,0.80076104,DH,13000000,Tampa Bay Rays,0.061597003076923076
Nick Ahmed,0.6946666666666667,0.8054229,SS,8125000,Arizona Diamondbacks,0.09912897230769233
Nick Castellanos,0.78375,0.8152925999999999,RF,14075000,Cincinnati Reds,0.05792487388987566
Nick Madrigal,0.4955,0.77185553,2B,584000,Chicago White Sox,1.3216704280821916
Nick Senzel,0.8153333333333332,0.8211537,3B,580500,Cincinnati Reds,1.4145627906976745
Niko Goodrum,0.6183333333333333,0.7872228,2B,2100000,Detroit Tigers,0.37486800000000003
Odubel Herrera,0.74,0.8172147,CF,10350000,Philadelphia Phillies,0.07895794202898551
Omar Narvaez,0.6153333333333334,0.7845493,C,2500000,Milwaukee Brewers,0.31381971999999997
Orlando Arcia,0.60475,0.78783154,SS,2000000,Atlanta Braves,0.39391577
