Player,Real,Predicted,Position,Payroll Salary,Team,OPS Per Millionth Dollar
Kole Calhoun,0.731,0.78855705,RF,8000000,Arizona Diamondbacks,0.09856963125
Kolten Wong,0.7233333333333333,0.7984011,2B,7500000,Milwaukee Brewers,0.10645348
Kris Bryant,0.7079999999999999,0.7935825,3B,19500000,Chicago Cubs,0.040696538461538465
Kurt Suzuki,0.7076666666666666,0.78756446,C,1500000,Los Angeles Angels,0.5250429733333334
Kyle Garlick,0.5823333333333334,0.81458646,RF,570500,Minnesota Twins,1.427846555652936
Kyle Higashioka,0.5710000000000001,0.7781161999999999,C,594000,New York Yankees,1.3099599326599325
Kyle Lewis,0.609,0.8014631,CF,625000,Seattle Mariners,1.28234096
Kyle Schwarber,0.7473333333333333,0.82322025,LF,7000000,Washington Nationals,0.11760289285714286
Kyle Seager,0.6926666666666667,0.80630845,3B,18500000,Seattle Mariners,0.04358424054054054
Leury Garcia,0.7686666666666667,0.80412745,OF,3500000,Chicago White Sox,0.2297507
Lorenzo Cain,0.8959999999999999,0.82938087,CF,16000000,Milwaukee Brewers,0.051836304375
Luis Robert,0.6345000000000001,0.7769191,CF,3500000,Chicago White Sox,0.22197688571428573
Luke Voit,0.68375,0.79795873,1B,4700000,New York Yankees,0.16977845319148935
Maikel Franco,0.6326666666666666,0.7978227,3B,800000,Baltimore Orioles,0.9972783749999999
Manuel Margot,0.5153333333333333,0.7889563,RF,3400000,Tampa Bay Rays,0.2320459705882353
Marcell Ozuna,0.638,0.7910379,LF,16000000,Atlanta Braves,0.04943986875
Marcus Semien,0.6286666666666667,0.78662115,SS,18000000,Toronto Blue Jays,0.043701175
Mark Canha,0.621,0.789143,LF,6925000,Oakland Athletics,0.1139556678700361
Mark Mathias,0.225,0.7769191,2B,572000,Milwaukee Brewers,1.3582501748251747
Martin Maldonado,0.6896,0.79401493,C,3500000,Houston Astros,0.22686140857142859
Marwin Gonzalez,0.7546666666666667,0.81584704,LF,3000000,Boston Red Sox,0.2719490133333333
Matt Carpenter,0.6926666666666668,0.8104165,3B,18500000,St. Louis Cardinals,0.0438062972972973
Matt Chapman,0.6366666666666667,0.7769191,3B,6490000,Oakland Athletics,0.11971018489984592
Matt Joyce,0.6786666666666666,0.7937482,LF,1500000,Philadelphia Phillies,0.5291654666666666
Matt Olson,0.6699999999999999,0.7952604999999999,1B,5000000,Oakland Athletics,0.15905209999999997
Max Kepler,0.7083333333333334,0.78886956,RF,6500000,Minnesota Twins,0.12136454769230769
Max Moroff,0.8585,0.8159149,2B,570500,St. Louis Cardinals,1.4301751095530237
Max Stassi,0.77525,0.8077526999999999,C,1600000,Los Angeles Angels,0.5048454374999999
Michael Brantley,0.6683333333333333,0.7831899,LF,16000000,Houston Astros,0.04894936875
